ANSWER,CLUE
YEMİN,ANT
YEN,GİYSİ KOLU
YEN,JAPON PARA BİRİMİ
YENGE,AKRABA KARISI
YENGE,BİRİNİN DAYISININ KARISI
YENİ,"CEDİT, ESKİ KARŞITI"
YENİ,EN SON EDİNİLEN
YENİ,ESKİ KARŞITI
YENİ,KULLANIL MAMIŞ OLAN
YENİ,KULLANILMAMIŞ
YENİ,KULLANILMAMIŞ OLAN
YENİ,"TANINMAYAN, BİLİNMEYEN"
YENİCE,ÇANAKKALE İLÇESİ
YENİCE,ÇANAKKALE'NİN BİR İLÇESİ
YENİCİ,YENİLİK YANLISI
YENİK,BİR HAYVANIN VEYA BÖCEĞİN BİR ŞEYİ YİYEREK O ŞEYDE BIRAKTIĞI İZ
YENİK,"YENİLMİŞ, MAĞLUP"
YENİMAHALLE,ANKARA'NIN BİR İLÇESİ
YER,MEKAN
YER,"MEKAN, MAHAL"
YEREGEÇEN,HAVUÇ
YEREGEÇEN,HAVUÇ.
YEREL,MAHALLİ
YEREY,YER KABUĞUNUN OLUŞUMU BAKIMINDAN ELE ALINAN HERHANGİ BİR PARÇASI
YERLEŞKE,KAMPÜS
YES,İNGİLİZCE EVET
YES,İNGİLİZCEDE EVET
YESARİ,"SOLA AİT, SOLA İLİŞKİN"
YESARİ,SOLAK
YETENEK,KABİLİYET
YETKİ,SALAHİYET
YETKİN,"OLGUN, KAMİL"
YETKİN,‘... DİKİNCİLER’ (AKTÖR)
YETİ,HİMALAYALAR’DA YAŞADIĞINA İNANILAN “KAR ADAM”A VERİLEN AD
YETİ,"KUVVE, MELEKE"
YETİ,MELEKE
YETİM,BABASI ÖLMÜŞ (ÇOCUK)
YETİM,BABASI ÖLMÜŞ ÇOCUK
YEĞ,"DAHA İYİ, EVLA"
YEİS,"UMUTSUZLUKTAN DOĞAN KARAMSARLIK, ÜZÜNTÜ"
YEİS,ÜMİTSİZLİK
YFARAK,BİRAZ UFAK
YIL,SENE
YILAN,SÜRÜNGEN BİR HAYVAN
YIR,"EZGİ, TÜRKÜ, NAĞME"
YIR,ŞİİR
YO,HAYIR
YOGA,HİNT FELSEFE SİSTEMİ
YOGA,RUH VE BEDENİ DENGELEYEN HİNT FELSEFESİ
YOGA,RUHA VE BEDENE EGEMEN OLAN FELSEFE
YOGA,RUHSAL YAŞAMA VE BEDENE EGEMEN OLMAYI AMAÇLAYAN HİNT FELSEFE SİSTEMİ
YOGA,RUHSAL YAŞAMA VE BEDENE EGEMEN OLMAYI AMAÇLAYAN HİNT FELSEFE SİSTEMİ.
YOK,NAMEVCUT
YOK,"OLMAYAN, BULUNMAYAN ŞEY"
YOK,‘VAR’ KARŞITI
YOL,BİR YERE ULAŞMAK İÇİN KULLANILAN YOL?
YOL,ULAŞIM ŞERİDİ
YOLAK,PATİKA
YOMRA,TRABZON İLÇESİ
YOMRA,TRABZON'UN BİR İLÇESİ
YONGA,YONTULMUŞ TAHTA PARÇASI
YONT,BAŞIBOŞ HAYVAN
YORTU,HIRİSTİYAN BAYRAMI
YOSUN,"TALLI BİTKİLERİN, ÇOĞU SULARDA YETİŞEN İLKEL YAPIDAKİ ÖRNEKLERİNE VERİLEN GENEL AD"
YOSUN,İLKEL SU BİTKİSİ
YOZ,DEJENERE
YOZ,"SOYSUZ, DEJENERE"
YOĞ,ESKİ TÜRKLERDE ÖLÜLER İÇİN YAPILAN TÖREN
YSK,YÜKSEK SEÇİM KURULU
YUAN,ÇİN PARA BİRİMİ
YUAN,ÇİN’İN PARA BİRİMİ
YUF,"KINAMA, ÜZÜNTÜ, NEFRET BİLDİREN BİR SÖZ"
YULAR,BİR YERE BAĞLAMAK YA DA ÇEKEREK GÖTÜRMEK İÇİN HAYVANIN BAŞLIĞINA YA DA TASMASINA BAĞLANAN İP
YULAR,HAYVAN TASMASINA BAĞLANAN İP
YULAR,HAYVANIN BAŞLIĞINA BAĞLANAN İP
YUNA,EYER ALTINA KONULAN KEÇE
YUNAK,HAMAM
YUNAK,KONYA İLÇESİ
YUNUS,BİR DENİZ HAYVANI
YURT,"BİR HALKIN ÜZERİNDE YAŞADIĞI, KÜLTÜRÜNÜ OLUŞTURDUĞU TOPRAK PARÇASI"
YURT,VATAN
YUSUFİ,"PADİŞAH, SADRAZAM, VEZİRLER VE YÜKSEK DERECELİ DEVLET ERKANININ GİYDİĞİ KAVUK"
YUĞ,ESKİ TÜRKLERDE ÖLÜLER İÇİN YAPILAN TÖREN
YY,YÜZYIL (KISACA)
YÖNEY,VEKTÖR
YÖRE,CİVAR
YÖRE,"HAVALİ, MAHAL"
YÜCE,YÜKSEK
YÜN,KOYUN TÜYÜ
YÜREK,KALP
YÜZBAŞI,TEĞMENDEN SONRA GELEN
YİDİŞ,ALMANYA DIŞINA SÜRÜLMÜŞ MUSEVİLERİN 14. ASIRDAN BAŞLAYARAK KULLANMIŞ OLDUKLARI ALMANCA-YAHUDİCE KARMASI DİL
YİLBİK,SARA HASTALIĞI
YİNE,"BİR DAHA, TEKRAR"
YİNE,"BİR DAHA, TEKRAR, GENE"
YİNEKE,BİZANS KİLİSELERİNDE KADINLARA AYRILAN BÖLÜM
YİNELEME,TEKRARLAMA
YİNELEMEK,"İKİLEMEK, TEKRARLAMAK"
YİNG,ÇİN DÜŞÜNCESİNDE DİŞİ İLKE
YİRİK,"HALK DİLİNDE YANIK, YIRTIK."
YİSA,BİR ÇOK KİŞİNİN YAPTIĞI İŞLERDE GAYRET VERMEK İÇİN KULLANILAN ÜNLEM
YİTİK,"KAYIP, ZAYİ"
YİTİK,"ZAYİ, KAYIP"
YİTİM,KAYIP
YİTİM,KAYIP.
YİV,EK ÇİZGİSİ
YİV,SAÇTA AYIRMA YERİ
YİĞİT,"GÜÇLÜ VE YÜREKLİ, KAHRAMAN, ALP"
ZA,FAS'TA BİR NEHİR
ZA,FAS’TA BİR NEHİR
ZA,GÜNEY AFRİKA CUMHURİYETİNİN PLAKASI
ZA,GÜNEY AFRİKA PLAKASI
ZA,GÜNEY AFRİKA'NIN PLAKASI
ZA,UZAY’IN ORTASI
ZAAF,"DAYANAMAMA, DÜŞKÜNLÜK"
ZAAF,DÜŞKÜNLÜK
ZAAF,"İRADE YETERSİZLİĞİ, DÜŞKÜNLÜK"
ZAAF,İRADE ZAYIFLIĞI
ZABIT,TUTANAK
ZABT,ZORLA ELE GEÇİRME
ZABİT,RÜTBESİ TEĞMENDEN BİNBAŞIYA KADAR OLAN SUBAY
ZABİT,SUBAY
ZABİTAN,SUBAYLAR
ZADE,"ERKEK EVLAT, OĞUL"
ZADE,OĞUL
ZAFER,SAVAŞTA KAZANILAN BAŞARI
ZAFERALGÖZ,RESİMDEKİ OYUNCU
ZAFERERGİN,RESİMDEKİ OYUNCU
ZAGREB,HIRVATİSTAN'IN BAŞKENTİ
ZAGREB,HIRVATİSTAN IN BAŞKENTİ
ZAGREB,HIRVATİSTANIN BAŞKENTİ
ZAGREB,HIRVATİSTAN’ IN BAŞKENTİ
ZAGREB,HIRVATİSTAN’IN BAŞKENTİ
ZAHM,ESKİ DİLDE YARA
ZAHME,MIZRAP
ZAHMET,GÜÇLÜK
ZAHİR,BELLİ
ZAHİRE,AMBARDAKİ TAHIL
ZAHİRE,GEREKTİĞİ ZAMAN KULLANILMAK İÇİN SAKLANAN TAHIL
ZAHİRİ,GÖRÜNEN
ZAHİRİ,"GÖRÜNEN, GÖRÜNÜRDEKİ"
ZAHİT,DİNDE YASAK OLAN ŞEYLERDEN KAÇINIP BUYRUKLARINI UYGULAYAN
ZAHİT,DİNİ YASAKLARDAN SAKINAN
ZAHİT,DİNİN YASAK ETTİĞİ ŞEYLERDEN KAÇINIP BUYRUKLARINI YERİNE GETİREN
ZAHİT,KABA SOFU
ZAKKUM,AĞI AĞACI
ZAKKUM,BİR MÜZİK GRUBU
ZAKKUM,"PEMBE, BEYAZ ÇİÇEK AÇAN, KIŞIN YAPRAK DÖKMEYEN, ZEHİRLİ BİR AĞAÇÇIK"
ZAKKUM,ZEHİRLİ BİR AĞAÇÇIK
ZAKİR,"ZİKREDEN, ANAN"
ZALİMANE,ACIMASIZCA
ZALİMANE,"ACIMASIZCA, ZALİMCE"
ZAM,"ARTTIRMA, BİNDİRME"
ZAM,BİR ŞEYİN FİYATINI ARTIRMA
ZAM,BİR ŞEYİN FİYATINI ARTIRMA; BİNDİRİM
ZAM,FİYAT ARTIRIMI
ZAMAN,VAKİT
ZAMANE,"İÇİNDE BULUNULAN ZAMAN, DÖNEM"
ZAMANE,ŞİMDİKİ ZAMAN (HAFİFSEME YOLUYLA)
ZAMANSIZLIK,UYGUN ZAMANIN OLMAMASI DURUMU
ZAMK,YAPIŞTIRICI
ZAMK,YAPIŞTIRICI MADDE
ZAMK,YAPIŞTIRICI OLARAK KULLANILAN BİR TÜR ERİYİK
ZAMİR,ADIL
ZAMİR,"BEN, SEN, O, BİZ, SİZ, ONLAR"
ZAMİR,"İÇYÜZ, İÇ"
ZAN,SANI
ZAN,"SANMA, SANI"
ZANAAT,EL BECERİSİ GEREKTİREN İŞLER
ZANAAT,EL USTALIĞI İSTEYEN İŞLER
ZANAAT,ESKİ DİLDE EL USTALIĞI
ZANKA,İKİ ATLI KIZAK
ZAPT,"TUTMA, HAKİM OLMA"
ZAPT,ZORLA ELE GEÇİRME
ZAR,BİR KUMAR ARACI
ZAR,ÇEPER
ZAR,İNCE PERDE VEYA ÖRTÜ
ZAR,İNCE PERDE YADA ÖRTÜ
ZARA,SİVAS İLÇESİ
ZARAR,BİR ŞEYİN EKSİLMESİ VEYA YİTİRİLMESİ SONUCU ORTAYA ÇIKAN DURUM
ZARAR,ZİYAN
ZARF,MEKTUP KESESİ
ZARURİ,ZORUNLU
ZAT,"KİMSE, KİŞİ"
ZAT,KİŞİ
ZAT,"KİŞİ, KİMSE, ŞAHIS"
ZATEN,"DOĞRUSUNU İSTERSENİZ, ESASEN"
ZATEN,ESASEN
ZATİ,KİŞİSEL
ZATİ,"KİŞİSEL, ÖZEL"
ZAVİYE,"BİR TARİKATIN MÜRİTLERİNİN YOLCULUKLARI SIRASINDA KONAKLADIKLARI, İBADET VE AYİN YAPTIKLARI TEKKELERE VERİLEN AD"
ZAVİYE,KÜÇÜK TEKKE
ZAYIF,BAŞARISIZLIĞI GÖSTEREN NOT
ZAYIF,"ETİ, YAĞI AZ OLAN, ŞİŞMAN OLMAYAN"
ZAYIF,"SISKA, CILIZ"
ZAYİ,KAYIP
ZAYİ,"KAYIP, KAYBOLMA, YİTME"
ZAYİ,"KAYIP, YİTİK"
ZAYİAT,"BOŞA ELDEN ÇIKAN ŞEYLER, YİTİKLER"
ZAYİAT,"YİTİKLER, KAYIPLAR"
ZAÇ,KÜKÜRTLE DEMİR BİLEŞİMLERİN DEN BİRİ
ZAÇ,KÜKÜRTLE DEMİR BİLEŞİMLERİNDEN BİRİ
ZAÇ,KÜKÜRTLE DEMİR BİLEŞİMİ
ZAĞ,"BİLENMİŞ KESİCİ BİR ARACIN YÜZÜNDE KALAN VE BİLEYİ TAŞIYLA GİDERİLEN METAL ÇAPAĞI, KIL AĞI"
ZAĞAR,BİR AV KÖPEĞİ CİNSİ
ZAĞAR,YERDE YAŞAYAN HAYVANLARIN AVLANMASINDA KULLANILAN BİR TÜR AV KÖPEĞİ
ZAĞAR,YERDEKİ HAYVANLARI AVLAYAN AV KÖPEĞİ
ZAĞARA,YAKA ÜZERİNE DİKİLEN KÜRK
ZAĞARA,YAKANIN ÜZERİNE DİKİLEN KÜRK
ZAİM,‘DERVİŞ ...’ (YÖNETMEN)
ZAİR,ZİYARET EDEN
ZAİRE,KONGO DEMOKRATİK CUMHURİYETİNİN ESKİ ADI
ZAİRE,KONGO'NUN ESKİ ADI
ZAİT,"ÇOĞALTAN, ARTIRAN"
ZEAMET,OSMANLI İMPARATORLUĞUNDA SİPAHİLERİN ALDIĞI EN BÜYÜK TIMAR
ZEAMET,"TARİHTE, TIMAR"
ZEAMET,TIMAR
ZEBAN,"KONUŞULAN DİL, LİSAN"
ZEBANİ,CEHENNEM BEKÇİSİ
ZEBANİ,CEHENNEMDE GÖREVLİ MELEK
ZEBRA,"ATA BENZEYEN, DERİSİ ÇİZGİLİ BİR HAYVAN"
ZEBRA,DERİSİ ÇİZGİLİ BİR HAYVAN
ZEBRA,ÇİZGİLİ AT
ZECRİ,ZORLAYICI
ZECRİ,"ZORLAYICI, YASAKLAYAN"
ZECİR,ZORLAMA
ZECİR,"ZORLAMA, BİR İŞİ ZORLA YAPTIRMA"
ZEDELEMEK,BERELEMEK
ZEKA,ANLAK
ZEKA,"ANLAK, DİRAYET"
ZEKA,"ANLAK, DİRAYET, FERASET"
ZEKAİ,"‘... TUNCA’ (BESTECİ, ŞARKICI)"
ZEKİ,OYUNCU (… ALASYA)
ZEKİ,ÇABUK VE KOLAY KAVRAYAN
ZELZELE,DEPREM
ZELİHASUNAL,BİR ŞARKICI
ZELİL,"HOR GÖRÜLEN, AŞAĞILANAN"
ZEM,BOYANMAMIŞ SERAMİK RENGİ
ZEM,"KÖTÜLEME, YERGİ"
ZEM,"YERME, YERGİ"
ZEMHERİ,ARAPÇA KIŞ
ZEMİN,"TABAN, DÖŞEME"
ZEMİN,"TABAN, DÖŞEME, YER"
ZEN,ESKİ DİLDE KADIN
ZEN,KADIN
ZENAN,KADINLAR
ZENCİ,SİYAHİ
ZENGİN,"PARASI, MALI ÇOK OLAN, VARLIKLI"
ZENGİN,VARLIKLI
ZEPLİN,HAVA GEMİSİ
ZEPLİN,ÇOĞUNLUKLA HİDROJEN VEYA HELYUMLA ŞİŞİRİLMİŞ GÜDÜMLÜ BALON
ZER,ALTIN (ESKİ DİL)
ZER,ESKİ DİLDE ALTIN
ZERDEVA,AĞAÇ SANSARI
ZERK,ENJEKSİYON
ZERK,"İÇİTME, İÇİTİM"
ZERRE,ÇOK KÜÇÜK PARÇACIK
ZEUS,YUNAN MİTOLOJİSİNDE OLİMPOS'UN KRALI
ZEVAL,"SUÇ, KABAHAT, SORUMLULUK"
ZEVAL,"YOK OLMA, YOK EDİLME"
ZEYBEK,EFE
ZEYTAN,ZEYTİNYAĞI ÇIKARAN KİMSE
ZEYTİN,İFTAR VE SAHURSA TÜKETİLEN KAHVALTILIK
ZEYTİNBURNU,İSTANBUL'UN BİR İLÇESİ
ZIBIK,KAMIŞ DÜDÜK
ZIBIN,BEBEK İÇ ÇAMAŞIRI
ZIBIN,BEBEKLERE İÇ ÇAMAŞIRI OLARAK GİYDİRİLEN İNCE PAMUKLUDAN KISA KOLLU GİYSİ
ZIH,SAYFA ÇEVRESİNE ÇEKİLEN ÇİZGİ
ZIMBA,DELGEÇLE AÇILAN DELİK
ZIMNİ,"KAPALI OLARAK YAPILAN YA DA SÖYLENEN, KAPALI, GİZLİ"
ZIMNİ,"KAPALI, GİZLİ"
ZIMPARA,AŞINDIRICI BİR TÜR KAYA
ZIMPARA,AŞINDIRICI DOĞAL KAYA
ZIMPARA,AŞINDIRICI OLARAK KULLANILAN DOĞAL KAYA
ZIPKA,KARADENİZ KIYISI HALKININ GİYDİĞİ DAR PAÇALI POTUR
ZIPKA,KARADENİZ POTURU
ZIRH,SAVAŞLARDA SİLAHLARDAN KORUNMAK İÇİN GİYİLEN GİYSİ
ZIT,KARŞIT ANLAMLI
ZIT,"KARŞIT, TERS"
ZIVANA,İKİ UCU AÇIK KÜÇÜK BORU
ZLOTİ,POLONYA PARA BİRİMİ
ZN,ÇİNKO SİMGESİ
ZN,ÇİNKO'NUN SİMGESİ
ZN,ÇİNKONUN SİMGESİ
ZOBU,ESKİ VEZİR KONAKLARINDA BİR KISIM MÜSTAHDEME VERİLEN AD
ZOBU,ESKİDEN VEZİR KONAKLARINDAKİ BİR BÖLÜM MÜSTAHDEME VERİLEN AD
ZOE,BİRÇOK ONAYAKLI KABUKLUDA ORTA SULARDA YAŞAYAN LARVA BİÇİMİ
ZOKA,"ALDATICI ŞEY, HİLE"
ZOKA,BAZI OLTALARDA KÖSTEĞİ AĞIRLAŞTIRMAK İÇİN KULLANILAN KURŞUN PARÇASI
ZOKA,"BÜYÜK BALIKLARI TUTMAKTA KULLANILAN, KÜÇÜK BALIK BİÇİMİNDE, UCU İĞNELİ KURŞUN PARÇASI"
ZOM,"OLGUN (KİMSE), ÇOK SARHOŞ OLAN"
ZOM,ÇOK SARHOŞ (ARGO)
ZONA,BİR DERİ HASTALIĞI
ZONA,"DERİDE, SİNİRLER BOYUNCA, ÖZELLİKLE GÖVDE, BACAK VE YÜZDE BİR TAKIM AĞRILI FİSKELERİN DÖKÜLMESİYLE BELİREN MİKROPLU BİR HASTALIK"
ZONA,MİKROPLU DERİ HASTALIĞI
ZOOLOG,HAYVAN BİLİMCİ
ZOOLOG,"ZOOLOJİ UZMANI, HAYVAN BİLİMCİ"
ZOR,KOLAY KARŞITI
ZOR,KOLAY OLMAYAN
ZOR,"SIKINTI, GÜÇLÜK"
ZORAKİ,İSTEMEYEREK YAPILAN
ZORBA,"DESPOT, DİKTATÖR"
ZORBA,GÜCÜNE GÜVENEREK HÜKMÜ ALTINDA BULUNANLARA SÖZ HAKKI TANIMAYAN
ZORLAMAZSIZ,"KOLAY, İÇTEN"
ZR,ZİRKONYUM (SİMGE)
ZR,ZİRKONYUM (SİMGESİ)
ZR,ZİRKONYUM SİMGESİ
ZR,ZİRKONYUM'UN SİMGESİ
ZUHURİ,BİR ORTA OYUNU TİPİ
ZUHURİ,ORTA OYUNUNDA TAKLİTÇİ
ZULA,ARGODA KAÇAK VE ŞEYLERİN SAKLANDIĞI GİZLİ YER
ZUM,OPTİK KAYDIRMA
ZUM,OPTİK KAYDIRMA.
ZURNA,ÜFLEMELİ BİR ÇALGI
ZÜL,ALÇALMA
ZÜL,"ALÇALMA, DÜŞKÜNLÜK; AYIPLANACAK ŞEY"
ZÜLAL,"SAF, TATLI SU"
ZÜLAL,İÇİMİ HOŞ VE TATLI SU
ZÜMRE,"TOPLULUK, TAKIM, CAMİA"
ZÜMRE,"TOPLULUK, TAKIM, GRUP, CAMİA"
ZÜMRE,"TOPLULUK, TÜR, CİNS"
ZÜMRÜDÜANKA,"MASALLARDA GEÇEN VE GERÇEKTE VAR OLMAYAN BÜYÜK BİR KUŞ, ANKA"
ZÜMRÜTLENME,ZÜMRÜTLENMEK İŞİ VEYA DURUMU
Zİ,ZİRKONYUM
Zİ,ZİRKONYUM SİMGESİ
ZİBA,"SÜSLÜ, GÜZEL"
ZİBİDİ,GÜLÜNÇ DERECEDE DAR VE KISA GİYİNMİŞ OLAN
ZİBİDİ,GÜLÜNÇ GİYİMLİ KİMSE
ZİFOS,YERDEN SIÇRAYAN ÇAMUR
ZİFT,ASFALT MALZEMESİ
ZİFT,"AZ ISI İLE ERİYEN, KATI, SİYAH, PARLAK MADDE, KARASAKIZ"
ZİFT,KATRAN VE DİĞER ORGANİK MADDELERDEN ELDE EDİLEN
ZİFT,KATRANDAN ELDE EDİLEN
ZİFİR,KOYU KARANLIK
ZİFİR,TÜTÜN DUMANININ BIRAKTIĞI SİYAH KİR
ZİFİR,TÜTÜN KİRİ
ZİGANA,"GÜMÜŞHANE İLİNDE, KAYAK MERKEZİ OLAN BİR DAĞ"
ZİGANA,GÜMÜŞHANEDE DAĞ
ZİGANA,GÜMÜŞHANE’ DE DAĞ
ZİGANA,GÜMÜŞHANE’DE DAĞ
ZİHAF,EDEBİYATTA ‘İMALE’ KARŞITI
ZİHAYAT,"CANLI, YAŞAYAN"
ZİKİR,"ADINI ANMA, SÖZÜNÜ ETME"
ZİKİR,"ANMA, SÖYLEME, SÖZÜNÜ ETME"
ZİL,KÜÇÜK ÇAN
ZİL,ÇINGIRAK
ZİLE,TOKAT İLÇESİ
ZİLİ,"KİLİME BENZER, RENKLİ VE MOTİFLİ UZUN YOLLUK, YAYGI"
ZİLİ,RENKLİ UZUN YOLLUK
ZİNDAN,"MECAZEN, ÇOK KARANLIK YER"
ZİNDAN,İÇİNE İNSAN KONAN KAPALI YER
ZİNDAN,‘... ADASI’ (MARTİN SCORSESE FİLMİ)
ZİNDE,"DİNÇ, CANLI"
ZİNDE,"DİNÇ, DİRİ"
ZİNNUR,"NURLU, IŞIKLI"
ZİR,"ALT, AŞAĞI"
ZİR,SAZIN EN İNCE SES VEREN TELİ
ZİRA,BİR UZUNLUK ÖLÇÜSÜ
ZİRA,ÇÜNKÜ
ZİRA,"ÇÜNKÜ, ŞUNDAN DOLAYI"
ZİRAAT,TARIM
ZİRAAT,"TARIM, ÇİFTÇİLİK"
ZİRAİ,TANIMSAL
ZİRAİ,TARIMSAL
ZİRVE,DORUK
ZİRVE,"DORUK, TEPE"
ZİVANA,İKİ UCU AÇIK KÜÇÜK BORU
ZİVER,ESKİ DİLDE SÜS
ZİVER,SÜS
ZİVER,"SÜS, ZİYNET"
ZİYA,IŞIK
ZİYADAR,IŞIKLI
ZİYAN,ZARAR
ZİYANKARLIK,ZİYAN VERME DURUMU VEYA HUYU
ZİYARET,BİRİNİ GÖRMEYE GİTME
ZİYARET,GÖRÜŞME
ZİYNET,"SÜS, BEZEK"
ZİYNETSALİ,RESİMDEKİ ŞARKICI
ÇABA,"EFOR, GAYRET"
ÇABA,GAYRET
ÇABA,"GAYRET, CEHT, EFOR"
ÇAD,AFRİKA'DA BİR ÜLKE
ÇAD,AFRİKA’DA BİR ÜLKE
ÇAK,ESKİ DİLDE YIRTMA
ÇAKALARMUDU,AHLAT
ÇAKI,KÜÇÜK CEP BIÇAĞI
ÇAKIR,AÇIK MAVİ GÖZ
ÇAKIR,MAVİ HARELİ ELA GÖZ
ÇAKMAK,TAŞA VURULUP KIVILCIM ÇIKARILAN ÇELİK PARÇASI
ÇAL,DENİZLİ İLÇESİ
ÇAL,"TAŞLIK YER, ÇIPLAK TEPE"
ÇALACAK,YOĞURT MAYASI
ÇALAKALEM,"DURMADAN, ÇABUCAK YAZARAK"
ÇALAKAŞIK,SOLUKLANMADAN YEMEK
ÇALAP,ALLAH
ÇALAR,AYIRTI
ÇALATABAN,"KOŞARAK, KAÇARAK"
ÇALÇENE,GEVEZE
ÇAM,BİR AĞAÇ
ÇAM,BİR ORMAN AĞACI
ÇAMAŞ,ORDU İLÇESİ
ÇAMELİ,DENİZLİ İLÇESİ
ÇAMLIHEMŞİN,RİZE'NİN BİR İLÇESİ
ÇAMOLUK,GİRESUN İLÇESİ
ÇAN,ÇANAKKALE İLÇESİ
ÇANAK,GÖZ ÇUKURU
ÇANAK,"TOPRAK, METAL VB. BİR MADDEDEN YAPILMIŞ YAYVAN, ÇUKURCA KAP."
ÇANAK,YAYVAN KASE
ÇANDIR,YOZGAT İLÇESİ
ÇANDIR,YOZGAT'IN BİR İLÇESİ
ÇANK,KANUNA BENZER ÖZBEK ÇALGISI
ÇANKAYA,ANKARA İLÇESİ
ÇAP,CİSİMLERİN GENİŞLİĞİ
ÇAP,"CİSİMLERİN GENİŞLİĞİ, KUTUR"
ÇAP,KUTUR
ÇAP,"ÖLÇÜ, ÖLÇEK"
ÇAPA,GEMİ DEMİRİ
ÇAPA,TARLALARDA TOPRAĞI İŞLEMEK İÇİN KULLANILAN KAZI ARACI
ÇAPA,TOPRAĞI İŞLEYEN ARAÇ
ÇAPAR,BENEKLİ HAYVAN
ÇAPAR,HALK DİLİNDE ÇİÇEK BOZUĞU YÜZ
ÇAPAR,ÇİÇEK BOZUĞU YÜZ
ÇAPUL,"YAĞMA, TALAN"
ÇARE,"TEDAVİ YOLU, DEVA"
ÇARE,"ÇIKAR YOL, ÇÖZÜM YOLU"
ÇAT,ERZURUM İLÇESİ
ÇAT,ERZURUM’UN BİR İLÇESİ.
ÇAT,KAVŞAK. İKİ YOLUN BİRLEŞTİĞİ YER
ÇATAK,VAN İLÇESİ
ÇATAK,"YAPIŞIK, İKİZ (MEYVE)"
ÇATAK,İKİ DAĞ YAMACININ KESİŞMESİ İLE OLUŞMUŞ DERE YATAĞI
ÇATAL,BİR SOFRA ARACI
ÇATAL,UCU KOLLARA AYRILMIŞ
ÇATAL,YEMEK YEME ARACI
ÇATALZEYTİN,KASTAMONU'NUN BİR İLÇESİ
ÇATANA,"BİR TÜR KÜÇÜK VAPUR, İSTİMBOT"
ÇATANA,"KÜÇÜK VAPUR, İSTİMBOT"
ÇATANA,KÜÇÜK VAPUR; İSTİMBOT
ÇATMA,SEMERİN AĞAÇ KISMI
ÇAVUŞ,ASKERİ BİR RÜTBE
ÇAVUŞ,MANGA KOMUTANI
ÇAY,AFYON İLÇESİ
ÇAY,AFYONKARAHİSAR'IN BİR İLÇESİ
ÇAY,IRMAK İLE DERE ARASI BÜYÜKLÜKTE AKARSU
ÇAYELİ,RİZE İLÇESİ
ÇAYELİ,RİZE'NİN BİR İLÇESİ
ÇAÇA,ESKİ VE USTA GEMİCİ
ÇAÇA,TİCARET GEMİLERİNDE ESKİ VE USTA GEMİCİ
ÇAÇARON,YANDAN ÇARKLI
ÇAÇARON,YÜKSEK SESLE KONUŞAN
ÇAÇARON,"YÜKSEK SESLE, ŞİRRETLE KARŞISINDAKİ YILDIRACAK ŞEKİLDE KONUŞAN"
ÇAÇARON,"ÇENESİ KUVVETLİ, GEVEZE"
ÇAĞA,KÜÇÜK ÇOCUK
ÇAĞA,"ÇOCUK, BEBEK"
ÇAĞANAK,ZİLLİ TEF VEYA DANSÖZLERİN KULLANDIĞI ZİL
ÇAĞATAYULUSOY,RESİMDEKİ OYUNCU
ÇEK,BİR ÖDEME ARACI
ÇEK,PARA YERİNE GEÇER KAĞIT
ÇEKİ,"ODUN, AĞIRLIK ÖLÇÜ BİRİMİ"
ÇEKİ,"ODUN, KİREÇ İÇİN AĞIRLIK ÖLÇÜ BİRİMİ"
ÇEKİ,TARTI
ÇEKİ,YAKACAK AĞIRLIK ÖLÇÜSÜ
ÇEKİ,İKİYÜZELLİ KİLOLUK BİR AĞIRLIK BİRİMİ
ÇEKİM,"FİZİKTE, CAZİBE"
ÇELENK,ÇİÇEKTEN HALKA
ÇEMBALO,KLAVSENE VERİLEN BİR AD
ÇENGEL,"EĞRİ, UCU SİVRİ DEMİR"
ÇERAĞ,"MUM, KANDİL, LAMBA VB. IŞIK VEREN ARAÇ, ÇIRAĞI"
ÇEREZ,ATIŞTIRMALIK
ÇERÇEVE,RESİM KENARLIĞI
ÇERÇİ,GEZGİN ESNAF
ÇERİ,ASKER
ÇERİ,ESKİ DİLDE ASKER
ÇETELE,ÇİZİLEREK AÇILAN KERTİK
ÇETİN,‘... ALTAY’ (KOMEDİ OYUNCUSU)
ÇETİN,‘... TEKİNDOR’ (AKTÖR)
ÇEÇ,TAHIL YIĞINI
ÇEÇİL,BİR CİNS PEYNİR
ÇEŞM,GÖZ
ÇIKAR,MENFAAT
ÇIKI,KÜÇÜK BOHÇA
ÇIKI,ÇIKIN
ÇIMA,HALAT UCU
ÇIN,"DOĞRU, GERÇEK"
ÇIN,DÜNYA’ NIN EN KALABALIK ÜLKESİ
ÇIRA,REÇİNELİ AĞAÇ
ÇIRA,ÇAMIN YAĞLI KISMI
ÇIRPI,DAL VE BUDAK KIRPINTISI
ÇIT,HAFİF VE ANLIK SES
ÇITA,DÜZGÜN BİÇİLMİŞ UZUN VE ENSİZ TAHTA
ÇITA,UZUN VE ENSİZ TAHTA
ÇOK,AZ KARŞITI
ÇOMA,HALK DİLİNDE LOR PEYNİRİNE VERİLEN AD
ÇOMAK,DEĞNEK
ÇOR,"HASTALIK, DERT"
ÇOR,SIĞIR VEBASI
ÇORLU,TEKİRDAĞ İLÇESİ
ÇORLU,TEKİRDAĞ'IN BİR İLÇESİ
ÇORUM,LEBLEBİSİ İLE ÜNLÜ İL
ÇU,KIRGIZİSTAN VE KAZAKİSTAN’DA BİR IRMAK
